       135 read  addr:10000102 rdata:00000000 sel:0100  (pc:800000d8 instr:10250583)
       137 write addr:10000102 wdata:ffe20000 sel:0100  (pc:800000dc instr:10b50123)
       137 read  addr:10000103 rdata:00000000 sel:1000  (pc:800000e0 instr:10350583)
       139 write addr:10000103 wdata:f1000000 sel:1000  (pc:800000e4 instr:10b501a3)
       139 read  addr:10000100 rdata:00000000 sel:0011  (pc:800000e8 instr:10051583)
       141 write addr:10000100 wdata:ffffd3c4 sel:0011  (pc:800000ec instr:10b51023)
       141 read  addr:10000102 rdata:00000000 sel:1100  (pc:800000f0 instr:10251583)
       143 write addr:10000102 wdata:f1e20000 sel:1100  (pc:800000f4 instr:10b51123)
       143 read  addr:10000100 rdata:00000000 sel:0011  (pc:800000f8 instr:10051583)
       145 write addr:10000100 wdata:ffffd3c4 sel:0011  (pc:800000fc instr:10b51023)
       145 read  addr:10000102 rdata:00000000 sel:1100  (pc:80000100 instr:10251583)
       147 write addr:10000102 wdata:f1e20000 sel:1100  (pc:80000104 instr:10b51123)
       147 read  addr:10000100 rdata:00000000 sel:1111  (pc:80000108 instr:10052583)
       149 write addr:10000100 wdata:f1e2d3c4 sel:1111  (pc:8000010c instr:10b52023)
       149 read  addr:10000100 rdata:00000000 sel:1111  (pc:80000110 instr:10052583)
       151 write addr:10000100 wdata:f1e2d3c4 sel:1111  (pc:80000114 instr:10b52023)
       151 read  addr:10000100 rdata:00000000 sel:0001  (pc:80000118 instr:10050583)
       153 write addr:10000100 wdata:ffffffc4 sel:1111  (pc:8000011c instr:10b52023)
       153 read  addr:10000101 rdata:00000000 sel:0010  (pc:80000120 instr:10150583)
       155 write addr:10000100 wdata:ffffffd3 sel:1111  (pc:80000124 instr:10b52023)
       155 read  addr:10000102 rdata:00000000 sel:0100  (pc:80000128 instr:10250583)
       157 write addr:10000100 wdata:ffffffe2 sel:1111  (pc:8000012c instr:10b52023)
       157 read  addr:10000103 rdata:00000000 sel:1000  (pc:80000130 instr:10350583)
       159 write addr:10000100 wdata:fffffff1 sel:1111  (pc:80000134 instr:10b52023)
       159 read  addr:10000100 rdata:00000000 sel:0001  (pc:80000138 instr:10054583)
       161 write addr:10000100 wdata:000000c4 sel:1111  (pc:8000013c instr:10b52023)
       161 read  addr:10000101 rdata:00000000 sel:0010  (pc:80000140 instr:10154583)
       163 write addr:10000100 wdata:000000d3 sel:1111  (pc:80000144 instr:10b52023)
       163 read  addr:10000102 rdata:00000000 sel:0100  (pc:80000148 instr:10254583)
       165 write addr:10000100 wdata:000000e2 sel:1111  (pc:8000014c instr:10b52023)
       165 read  addr:10000103 rdata:00000000 sel:1000  (pc:80000150 instr:10354583)
       167 write addr:10000100 wdata:000000f1 sel:1111  (pc:80000154 instr:10b52023)
       167 write addr:10000100 wdata:000000ff sel:0001  (pc:8000015c instr:10b50023)
       168 write addr:10000100 wdata:00000001 sel:0001  (pc:80000160 instr:10950023)
       170 write addr:10000101 wdata:0000fe00 sel:0010  (pc:80000168 instr:10b500a3)
       172 write addr:10000101 wdata:00000200 sel:0010  (pc:80000170 instr:114500a3)
       174 write addr:10000102 wdata:00fd0000 sel:0100  (pc:80000178 instr:10b50123)
       176 write addr:10000102 wdata:00030000 sel:0100  (pc:80000180 instr:10b50123)
       178 write addr:10000103 wdata:fc000000 sel:1000  (pc:80000188 instr:10b501a3)
       180 write addr:10000103 wdata:04000000 sel:1000  (pc:80000190 instr:10b501a3)
       182 write addr:10000100 wdata:fffffff5 sel:0011  (pc:80000198 instr:10b51023)
       184 write addr:10000100 wdata:0000000b sel:0011  (pc:800001a0 instr:10b51023)
       186 write addr:10000102 wdata:fff40000 sel:1100  (pc:800001a8 instr:10b51123)
       188 write addr:10000102 wdata:000c0000 sel:1100  (pc:800001b0 instr:10b51123)
       190 write addr:10000100 wdata:ffffff91 sel:1111  (pc:800001b8 instr:10b52023)
       192 write addr:10000100 wdata:0000006f sel:1111  (pc:800001c0 instr:10b52023)
       194 write addr:10000104 wdata:ffffffff sel:1111  (pc:800001c8 instr:10b52223)
       197 write addr:10000100 wdata:fffff752 sel:1111  (pc:800001d4 instr:10b52023)
       198 write addr:10000104 wdata:00000000 sel:1111  (pc:800001d8 instr:10052223)
       201 write addr:10000100 wdata:000008ae sel:1111  (pc:800001e4 instr:10b52023)
       205 write addr:8000ba04 wdata:07654320 sel:1111  (pc:800001f4 instr:a0c5a223)
       207 read  addr:8000ba04 rdata:07654320 sel:1111  (pc:800001f8 instr:a045a603)
       209 write addr:8000ba04 wdata:07654321 sel:1111  (pc:80000200 instr:a0c5a223)
       210 read  addr:8000ba04 rdata:07654321 sel:1111  (pc:80000204 instr:a045a583)
       212 write addr:10000100 wdata:07654321 sel:1111  (pc:80000208 instr:10b52023)
       212 write addr:8000d9b8 wdata:8000d9c8 sel:1111  (pc:8000020c instr:01312823)
       214 write addr:8000d9c8 wdata:80000894 sel:1111  (pc:80000218 instr:02a12023)
       215 write addr:8000d9cc wdata:00000001 sel:1111  (pc:8000021c instr:02912223)
       216 write addr:8000d9d0 wdata:00000000 sel:1111  (pc:80000220 instr:02012423)
       217 write addr:8000d9d8 wdata:80000884 sel:1111  (pc:80000224 instr:03212823)
       218 write addr:8000d9dc wdata:00000000 sel:1111  (pc:80000228 instr:02012a23)
       228 write addr:8000d9a4 wdata:80000248 sel:1111  (pc:8000623c instr:04112623)
       228 write addr:8000d9a0 wdata:80000920 sel:1111  (pc:80006240 instr:04812423)
       229 write addr:8000d99c wdata:8000d9b8 sel:1111  (pc:80006244 instr:04912223)
       230 write addr:8000d998 wdata:80000884 sel:1111  (pc:80006248 instr:05212023)
       231 write addr:8000d994 wdata:8000d9c8 sel:1111  (pc:8000624c instr:03312e23)
       232 write addr:8000d990 wdata:00000002 sel:1111  (pc:80006250 instr:03412c23)
       233 write addr:8000d98c wdata:00000000 sel:1111  (pc:80006254 instr:03512a23)
       234 write addr:8000d988 wdata:00000000 sel:1111  (pc:80006258 instr:03612823)
       236 write addr:8000d960 wdata:00000000 sel:1111  (pc:80006260 instr:00012423)
       238 write addr:8000d964 wdata:00000020 sel:1111  (pc:80006268 instr:00c12623)
       240 write addr:8000d980 wdata:00000003 sel:0001  (pc:80006270 instr:02c10423)
       242 read  addr:8000d9d0 rdata:00000000 sel:1111  (pc:80006274 instr:00842603)
       242 write addr:8000d968 wdata:00000000 sel:1111  (pc:80006278 instr:00012823)
       243 write addr:8000d970 wdata:00000000 sel:1111  (pc:8000627c instr:00012c23)
       244 write addr:8000d978 wdata:8000d9b8 sel:1111  (pc:80006280 instr:02a12023)
       245 write addr:8000d97c wdata:80000920 sel:1111  (pc:80006284 instr:02b12223)
       249 read  addr:8000d9dc rdata:00000000 sel:1111  (pc:800063b0 instr:01442503)
       251 read  addr:8000d9cc rdata:00000001 sel:1111  (pc:80006440 instr:00442503)
       253 read  addr:8000d9c8 rdata:80000894 sel:1111  (pc:80006448 instr:00042583)
       257 read  addr:8000d97c rdata:80000920 sel:1111  (pc:80006458 instr:02412683)
       258 read  addr:8000d978 rdata:8000d9b8 sel:1111  (pc:8000645c instr:02012503)
       259 read  addr:80000894 rdata:80000884 sel:1111  (pc:80006460 instr:00062583)
       260 read  addr:80000898 rdata:0000000d sel:1111  (pc:80006464 instr:00462603)
       261 read  addr:8000092c rdata:800006e0 sel:1111  (pc:80006468 instr:00c6a683)
       265 read  addr:80000884 rdata:6c6c6548 sel:0001  (pc:800006e8 instr:00058683)
       267 write addr:10000000 wdata:00000048 sel:0001  (pc:800006f4 instr:00d50023)
       271 read  addr:80000885 rdata:6c6c6548 sel:0010  (pc:800006e8 instr:00058683)
       272 write addr:10000000 wdata:00000065 sel:0001  (pc:800006f4 instr:00d50023)
